address,checkins,city,country,created,icon,latitude,longitude,pid,title,type,updated
Первомайская ул. 16,0.0,49.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,56.817774,60.676729,58.0,PV,4.0,1337959046.0
Б.Никитская 19К13,0.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.756974,37.600963,59.0,Blues Time,4.0,
Паустовского 8К1,9.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.599072,37.538373,60.0,Икенга,4.0,1444593384.0
Санкт-Петербургскийский 6,0.0,158.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.157428,61.394918,61.0,Sugar Free,4.0,1408264235.0
Московский просп. 97,1.0,2.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,59.893231,30.317243,62.0,Моссoncert,4.0,1464604059.0
Новопесчаная 12,9.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.798849,37.513233,63.0,Питер,4.0,1487458011.0
Берсеневская наб. 6К3,14.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.740603,37.609254,64.0,Палитра,4.0,1387435202.0
Театральный пр. 3К3,80.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.759993,37.622603,65.0,Мастерская,4.0,1474554797.0
Новослободская 46,2.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.785792,37.595609,66.0,Рэй,4.0,1350145859.0
Донская 15,4.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.723693,37.608113,67.0,Newton Bar,4.0,1408196873.0
Вавилова 65,9.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.684655,37.554394,68.0,X.O.,4.0,1463143649.0
Дзержинского 98а,3.0,134.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,45.044998,41.978031,69.0,Live city dance hall,4.0,1461591668.0
Ломоносова 72К2,0.0,72.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,45.022074,38.979418,70.0,Караганда,4.0,1347262494.0
Стартовая 19а,4.0,483.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.837879,37.300431,71.0,Пятница,4.0,1465751310.0
Подзеленье ,82.0,169.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,57.621166,39.897002,72.0,Мед,4.0,1482030724.0
Дачная 2,31.0,123.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,53.201974,50.141302,73.0,Оперетта,4.0,1402788034.0
Комендантский 47,21.0,2.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,59.89973,30.289799,74.0,Place,4.0,1487878373.0
Токарей 24,1.0,49.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,56.837957,60.561362,75.0,Mixx,4.0,1412055932.0
Профессора Баранова 34,1.0,61.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,54.721312,20.510802,76.0,Moon,4.0,1350827048.0
Металлистов 10,10.0,49.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,56.810847,61.331191,77.0,Riviera,4.0,1448539284.0
Большая Монетная 7,6.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.725706,37.673457,78.0,Tabula Rasa,4.0,1440187616.0
Профсоюзная 27К1,2.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.673869,37.559505,79.0,Джазман,4.0,1469052377.0
Опалихинская 15,0.0,49.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,56.848699,60.564452,80.0,City,4.0,1422889469.0
ул. Казанская 7,0.0,2.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,59.933519,30.323863,81.0,Kvartal,4.0,1343684308.0
Куйбышева 4,0.0,110.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,58.014536,56.232632,82.0,Loco,4.0,
Гоголя 1,8.0,112.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,61.783937,34.366201,83.0,"""Barcelona"" Cafe-Bar-Club",4.0,1389215639.0
промзона 1а,1.0,95.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,56.34282,43.835082,84.0,Рим,4.0,1353399862.0
М.Бронная 10,1.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.760722,37.596669,85.0,Rush,4.0,1391184609.0
Ниж.Сусальный пер. 5К15а,10.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.76129,37.663068,86.0,Воздух,4.0,1351503991.0
Таганская 2,2.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.73549,37.616953,87.0,Mixtura,4.0,1354090093.0
просп. Энгельса 154,0.0,2.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,60.058668,30.336112,88.0,Запой,4.0,
Крымский вал 3К2,4.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.72927,37.609124,89.0,Pridebar,4.0,1447351752.0
Б.Златоустинский пер. 7,75.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.758686,37.632768,90.0,Bourbon Street,4.0,1487360669.0
М.Посадская 19,1.0,2.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,59.957859,30.330169,91.0,Антресоль,4.0,1365719750.0
1-й Смоленский пер. 3,4.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.746608,37.57969,92.0,Mafia,4.0,1353429568.0
Новозаводская 27,9.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.749729,37.498788,93.0,Главклуб,4.0,1440799301.0
Земляной Вал 75,24.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.745985,37.655975,94.0,Double Bourbon,4.0,1488996719.0
Баррикадная 5,10.0,859.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.910276,37.856758,95.0,The Best Club,4.0,1485000981.0
Таганская пл. 20К13,0.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.7664,37.667137,96.0,Studio 54,4.0,
пл. Ломоносова 2К4,0.0,57.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,52.262714,104.241476,97.0,Полигон,4.0,1343052876.0
Паустовского 8К1,8.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.599072,37.538273,98.0,Шпилька,4.0,1423505049.0
Дубининская 69,2.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.714921,37.634502,99.0,Serebro,4.0,1460235700.0
просп. Испытателей 26К2,14.0,2.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,60.005873,30.269416,100.0,Vinyl Story Club,4.0,1439145994.0
Хорошевское ш. 39,10.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.777282,37.513682,101.0,Закрома Родины,4.0,1486991368.0
Волгоградский пр. 6К1,2.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.819257,37.564918,102.0,Shambor,4.0,1429364458.0
Красная 174,6.0,72.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,45.044215,38.978466,103.0,Infiniti,4.0,1406984147.0
Пестеля 7,10.0,2.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,59.94188,30.341479,104.0,Китайский летчик Джао Да,4.0,1352833107.0
Тимирязевская 11,0.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.598843,37.516171,105.0,Dark Woods,4.0,1280943098.0
Бутырский Вал 5,17.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.779474,37.58526,106.0,Жара,4.0,1367524324.0
Декабристов 81,2.0,60.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.818523,49.092239,107.0,Neo Territory,4.0,1427264345.0
Полярные Зори 51К33,0.0,87.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,67.374576,32.503702,108.0,Декабрь,4.0,
Комсомольская пл. 89,0.0,123.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,53.215343,50.24581,109.0,Движение,4.0,1439476666.0
просп. Гагарина 29,5.0,95.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,56.292438,43.979845,110.0,Затерянный рай,4.0,1408089250.0
М.Дмитровка 23К15,0.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.770578,37.604915,111.0,Синяя птица,4.0,1439145999.0
просп. Ленина 46,0.0,146.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,54.184551,37.607601,112.0,Анастасия,4.0,1484314176.0
Кадашевская наб. 6К1,29.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.742833,37.617186,113.0,Третьяков,4.0,1399641889.0
просп. Победы 168,5.0,158.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.184896,61.399338,114.0,Такси-блюз,4.0,1420577614.0
Рабоче-Крестьянская 2К1,4.0,10.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,48.699629,44.503815,115.0,Калипсо,4.0,1476551882.0
М.Сухаревская пл. К38,5.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.785017,37.53287,116.0,Арсенал,4.0,1431089197.0
Мясницкая 13,0.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.762449,37.632395,117.0,Вос-дух,4.0,1354178187.0
Карла Маркса 68,2.0,42.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,51.663663,39.206297,118.0,Bit Town,4.0,1335199529.0
Красная 139,2.0,72.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,45.044979,38.977029,119.0,Барсук,4.0,1418831110.0
Энгельса 107,3.0,158.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.148765,61.381075,120.0,Парк,4.0,1415599933.0
Красная 36,8.0,112.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,61.789079,34.353688,121.0,Контакт,4.0,1481130988.0
Ставропольская 12,36.0,112.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,61.810098,34.332272,122.0,Территория,4.0,1458425503.0
Новокузнецкая 59а,3.0,158.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.162947,61.389232,123.0,Монте-Карло,4.0,1481646028.0
Свободы 46,11.0,169.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,57.626034,39.869164,124.0,Старый город,4.0,1451071519.0
Сергея Макеева 9,191.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.761629,37.550837,125.0,Milk,4.0,1459975519.0
Рогожский Вал 6К2,3.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.742767,37.674526,126.0,Platina,4.0,1369337619.0
Менделеевская 2,0.0,146.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,54.191984,37.623555,127.0,Бригантина,4.0,1316065486.0
Ясная 2,1.0,49.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,56.816336,60.584691,128.0,Партия,4.0,1354719461.0
Волгоградский просп. 3,5.0,2.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,59.962944,30.412051,129.0,Free for Fun,4.0,1421259625.0
Лубянский пр. 15К2,2.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.756619,37.632489,130.0,Ля Мур,4.0,1485939118.0
Газеты «Звезда» 38б,3.0,110.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,58.007494,56.248559,131.0,New Star,4.0,1407073258.0
Беговая ул. 47,5.0,49.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,56.809497,60.601184,132.0,Red Cafe,4.0,1489176765.0
Маршала Казакова 13,9.0,2.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,59.860075,30.236709,133.0,Pickup Night Club,4.0,1479033081.0
Страстной б-р 8а,8.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.766258,37.610867,134.0,Babуlon Private Club,4.0,1389480417.0
Летниковская 11К10,124.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.724545,37.646372,135.0,Форум холл,4.0,1479193606.0
Малышева 3К2,13.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.701957,37.742735,136.0,От заката до рассвета,4.0,1489094464.0
Комсомольский просп. 28,1.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.727019,37.579681,137.0,Maska,4.0,1353173698.0
